,title,budget,revenue,runtime,movie_id,genre
0,Dick Johnson Is Dead,0.0,0.0,89.0,653574.0,"Documentary,"
1,My Little Pony: A New Generation,0.0,4100000.0,91.0,597316.0,"Animation,Family,Fantasy,Comedy,Adventure,"
2,Sankofa,1000000.0,2691899.0,124.0,68351.0,"Drama,"
3,The Starling,0.0,0.0,103.0,468225.0,"Drama,"
4,Je Suis Karl,0.0,0.0,126.0,683641.0,"Drama,Thriller,"
5,Confessions of an Invisible Girl,0.0,0.0,91.0,786705.0,"Comedy,Drama,"
6,Europe's Most Dangerous Man: Otto Skorzeny in Spain,151105.0,0.0,68.0,683398.0,"Documentary,History,"
7,Intrusion,0.0,0.0,93.0,785752.0,"Thriller,"
8,Avvai Shanmughi,,,,,
9,Go! Go! Cory Carson: Chrissy Takes the Wheel,0.0,0.0,61.0,876576.0,"Animation,Family,"
10,Jeans,0.0,0.0,93.0,74659.0,"Drama,Comedy,"
11,Minsara Kanavu,0.0,0.0,145.0,79328.0,"Comedy,Romance,Drama,"
12,Grown Ups,80000000.0,271430189.0,102.0,38365.0,"Comedy,"
13,Dark Skies,3500000.0,25174316.0,97.0,145135.0,"Science Fiction,Thriller,Horror,"
14,Paranoia,35000000.0,13785015.0,106.0,115348.0,"Drama,Thriller,"
15,Ankahi Kahaniya,0.0,0.0,110.0,862701.0,"Drama,Romance,"
16,The Father Who Moves Mountains,0.0,0.0,108.0,840427.0,"Drama,Thriller,"
17,The Stronghold,14479740.0,0.0,105.0,637534.0,"Thriller,Action,Crime,"
18,Birth of the Dragon,0.0,6901965.0,103.0,408266.0,"Action,Drama,"
19,Jaws,7000000.0,470653000.0,124.0,578.0,"Horror,Thriller,Adventure,"
20,Jaws 2,20000000.0,187884007.0,116.0,579.0,"Horror,Thriller,"
21,Jaws 3,20500000.0,87987055.0,99.0,17692.0,"Thriller,Horror,"
22,Jaws: The Revenge,23000000.0,51881013.0,89.0,580.0,"Adventure,Thriller,Horror,"
23,My Heroes Were Cowboys,0.0,0.0,23.0,866529.0,"Documentary,"
24,Safe House,85000000.0,208076205.0,115.0,59961.0,"Action,Thriller,"
25,Training Day,45000000.0,104876233.0,122.0,2034.0,"Action,Crime,Drama,"
26,InuYasha the Movie 2: The Castle Beyond the Looking Glass,0.0,0.0,100.0,22537.0,"Action,Animation,Adventure,Fantasy,"
27,InuYasha the Movie 3: Swords of an Honorable Ruler,0.0,0.0,99.0,34295.0,"Animation,Fantasy,Adventure,"
28,InuYasha the Movie 4: Fire on the Mystic Island,0.0,0.0,88.0,34297.0,"Fantasy,Animation,Adventure,"
29,InuYasha the Movie: Affections Touching Across Time,10540.0,0.0,99.0,42360.0,"Action,Animation,Adventure,Fantasy,"
30,Naruto Shippuden the Movie: Blood Prison,0.0,0.0,108.0,75624.0,"Thriller,Animation,Action,Comedy,Horror,Mystery,"
31,Naruto Shippûden the Movie: Bonds,0.0,0.0,90.0,17581.0,"Fantasy,Animation,Action,"
32,Naruto Shippûden the Movie: The Will of Fire,0.0,8084148.0,95.0,36728.0,"Action,Adventure,Comedy,Drama,Fantasy,Animation,"
33,Naruto Shippuden: The Movie,29000000.0,0.0,94.0,20982.0,"Animation,Action,Fantasy,"
34,Naruto Shippuden: The Movie: The Lost Tower,0.0,0.0,85.0,50723.0,"Adventure,Action,Animation,"
35,Naruto the Movie 2: Legend of the Stone of Gelel,0.0,0.0,96.0,16910.0,"Animation,Adventure,Fantasy,"
36,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,25000000.0,0.0,95.0,18861.0,"Adventure,Animation,Action,"
37,Naruto the Movie: Ninja Clash in the Land of Snow,0.0,0.0,82.0,16907.0,"Comedy,Action,Animation,Adventure,"
38,Nightbooks,0.0,0.0,103.0,739990.0,"Fantasy,Family,Horror,"
39,Schumacher,0.0,0.0,112.0,855823.0,"Documentary,"
40,A StoryBots Space Adventure,0.0,0.0,12.0,874104.0,"Animation,Family,"
41,King of Boys,0.0,0.0,169.0,570465.0,"Drama,"
42,You vs. Wild: Out Cold,0.0,0.0,25.0,869589.0,"Action,Adventure,"
43,Little Singham - Black Shadow,0.0,0.0,47.0,874467.0,
44,Tughlaq Durbar,0.0,0.0,146.0,620637.0,"Drama,Comedy,"
45,Tughlaq Durbar (Telugu),,,,,
46,Firedrake the Silver Dragon,17830000.0,3175644.0,100.0,523366.0,"Animation,Family,Adventure,Fantasy,"
47,Kate,0.0,0.0,106.0,597891.0,"Action,"
48,Omo Ghetto: the Saga,0.0,0.0,110.0,790682.0,"Comedy,"
49,Prey,65000000.0,0.0,100.0,766507.0,"Thriller,Action,Science Fiction,"
50,Blood Brothers: Malcolm X & Muhammad Ali,0.0,0.0,95.0,861604.0,"Documentary,History,"
51,Paradise Hills,6000000.0,0.0,95.0,487083.0,"Fantasy,Science Fiction,Thriller,"
52,The Women and the Murderer,0.0,0.0,92.0,866127.0,"Documentary,Crime,"
53,JJ+E,0.0,0.0,90.0,726916.0,"Romance,Drama,"
54,Show Dogs,5500000.0,38830219.0,92.0,425148.0,"Adventure,Crime,Family,Comedy,"
55,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,0.0,0.0,94.0,502183.0,"Documentary,"
56,Untold: Breaking Point,0.0,0.0,79.0,862582.0,"Documentary,"
57,Shadow Parties,0.0,0.0,117.0,871229.0,"Action,Drama,Thriller,"
58,Angamaly Diaries,610000.0,3100000.0,132.0,442000.0,"Action,Comedy,Thriller,"
59,A Champion Heart,0.0,0.0,90.0,500705.0,"Family,"
60,Worth,0.0,0.0,118.0,649394.0,"History,Drama,"
61,Afterlife of the Party,0.0,0.0,109.0,785457.0,"Fantasy,Comedy,Drama,"
62,Anjaam,0.0,0.0,0.0,307369.0,
63,Bright Star,10000000.0,14374652.0,119.0,29963.0,"Drama,Romance,"
64,Dhanak,0.0,0.0,106.0,320873.0,"Drama,Comedy,"
65,Final Account,0.0,0.0,94.0,728125.0,"Documentary,"
66,Gurgaon,0.0,0.0,107.0,432140.0,"Crime,Thriller,"
67,Here and There,0.0,0.0,4.0,530169.0,"Animation,"
68,In the Cut,12000000.0,23726793.0,119.0,10944.0,"Drama,Mystery,Thriller,"
69,Shikara,0.0,0.0,118.0,661671.0,"Drama,Romance,"
70,A Cinderella Story,19000000.0,70067909.0,95.0,11247.0,"Comedy,Family,Romance,"
71,Agatha Christie's Crooked House,,,,,
72,An Unfinished Life,30000000.0,18618284.0,108.0,1947.0,"Drama,"
73,Barbie Big City Big Dreams,0.0,0.0,62.0,850818.0,"Animation,Music,Family,"
74,Blade Runner: The Final Cut,28000000.0,41722424.0,118.0,78.0,"Science Fiction,Drama,Thriller,"
75,Chappie,49000000.0,104399548.0,120.0,198184.0,"Crime,Action,Science Fiction,"
76,Clear and Present Danger,62000000.0,215887717.0,141.0,9331.0,"Action,Drama,Thriller,"
77,Cliffhanger,70000000.0,255000211.0,112.0,9350.0,"Action,Adventure,Thriller,"
78,Cold Mountain,79000000.0,173013509.0,154.0,2289.0,"Adventure,Drama,History,Romance,"
79,Crocodile Dundee in Los Angeles,21150000.0,39438674.0,95.0,9290.0,"Adventure,Comedy,"
80,Dear John,25000000.0,114977104.0,108.0,22971.0,"Drama,Romance,War,"
81,Do the Right Thing,6500000.0,37295445.0,120.0,925.0,"Drama,"
82,"El patrón, radiografía de un crimen",0.0,0.0,98.0,314572.0,"Drama,Crime,"
83,Extraction,65000000.0,0.0,116.0,545609.0,"Drama,Action,Thriller,"
84,Freedom Writers,21000000.0,43095175.0,123.0,1646.0,"Crime,Drama,"
85,Green Lantern,200000000.0,219851172.0,114.0,44912.0,"Adventure,Action,Thriller,Science Fiction,"
86,House Party,2500000.0,26386000.0,100.0,16094.0,"Comedy,Drama,"
87,House Party 2,0.0,0.0,94.0,16096.0,"Comedy,"
88,House Party 3,0.0,0.0,100.0,16097.0,"Comedy,"
89,I Got the Hook Up,0.0,0.0,93.0,40505.0,"Action,Comedy,"
90,In Too Deep,7000000.0,14011454.0,95.0,22314.0,"Drama,Action,Thriller,Crime,"
91,Initial D,1549000.0,7096000.0,107.0,16411.0,"Action,Crime,Thriller,Drama,"
92,Janoskians: Untold and Untrue,0.0,0.0,88.0,360220.0,"Comedy,"
93,Labyrinth,25000000.0,12729917.0,102.0,13597.0,"Adventure,Family,Fantasy,"
94,Letters to Juliet,30000000.0,82148538.0,105.0,37056.0,"Comedy,Drama,Romance,"
95,Level 16,0.0,15575.0,102.0,548066.0,"Science Fiction,Thriller,"
96,Love Don't Cost a Thing,0.0,21964072.0,100.0,21542.0,"Comedy,Drama,Family,Romance,"
97,Love in a Puff,0.0,0.0,104.0,41993.0,"Comedy,Drama,Romance,"
98,Mars Attacks!,70000000.0,101371017.0,106.0,75.0,"Comedy,Fantasy,Science Fiction,"
